What happened?	0.mp3
You fell off!	1.mp3
What happened? Again?	2.mp3
You fell off! ...Again!	3.mp3
What happened? For the last time...	4.mp3
You fell off! For the last time...	5.mp3
Hello!	6.mp3
Oh no it's a wild betty! Shoot her!	7.mp3
No!	8.mp3
Winner winner chicken dinner!   9.mp3
Argh!   10.mp3
Now I am become death, the destroyer of worlds.	11.mp3
Oh I'm so alone my sweet Betty!	12.mp3
Oh Betty I actually hate you so very much.	13.mp3
Test	14.mp3
Help	15.mp3
the person is making an uncomfortable expression.	16.mp3
la persona sta facendo un'espressione scomoda.	17.mp3
writing	18.mp3
scrivere	19.mp3
I eat	20.mp3
Io mangio	21.mp3
You eat	22.mp3
Tu mangi	23.mp3
He eats	24.mp3
Lui mangia	25.mp3
She eats	26.mp3
Lei mangia	27.mp3
We eat	28.mp3
Noi mangiamo	29.mp3
You eat (plural)	30.mp3
Voi mangiate	31.mp3
They eat	32.mp3
Loro mangiano	33.mp3
I can't believe I slept in	34.mp3
Non posso credere di aver dormito troppo!	35.mp3
Time for breakfast!	36.mp3
È ora di fare colazione!	37.mp3
Ugh, what is this?	38.mp3
Ugh, cos'è questo?	39.mp3
I don't feel so good...	40.mp3
Non mi sento tanto bene...	41.mp3
I need to go!	42.mp3
Devo andare!	43.mp3
they are showing no interest.	44.mp3
non mostrano interesse.	45.mp3
october	46.mp3
ottobre	47.mp3
Time to wake up!	48.mp3
È ora di svegliarsi!	49.mp3
Let's get some cereal!	50.mp3
Prendiamo un po' di cereali!	51.mp3
Delicious! Just what I needed.	52.mp3
Delizioso! Proprio quello di cui avevo bisogno.	53.mp3
I'm ready for anything today!	54.mp3
Sono pronto per qualsiasi cosa oggi!	55.mp3
See you later, Betty!	56.mp3
A dopo, Betty!	57.mp3
he is regarded as a special being.	58.mp3
è considerato un essere speciale.	59.mp3
persuade me!	60.mp3
persuadimi!	61.mp3
I am going	62.mp3
Sto andando	63.mp3
You are going	64.mp3
Stai andando	65.mp3
He is going	66.mp3
Sta andando	67.mp3
She is going	68.mp3
We are going	69.mp3
Stiamo andando	70.mp3
You are going (plural)	71.mp3
Voi andate	72.mp3
They are going	73.mp3
Loro vanno	74.mp3
We need to combine these elements carefully	75.mp3
Dobbiamo combinare questi elementi con attenzione.	76.mp3
The right balance will create something powerful	77.mp3
Il giusto equilibrio creerà qualcosa di potente.	78.mp3
Rise up against the tyranny!	79.mp3
I can't bear to hear this!	80.mp3
Opponiti alla tirannia!	81.mp3
Non riesco a sopportare di sentire questo!	82.mp3
For freedom!	83.mp3
We need to get out of here!	84.mp3
Per la libertà!	85.mp3
Dobbiamo uscire di qui!	86.mp3
a crutch	87.mp3
una stampella	88.mp3
a building site	89.mp3
un cantiere	90.mp3
I ride	91.mp3
Vado a cavallo	92.mp3
You ride	93.mp3
Vai a cavallo	94.mp3
He rides	95.mp3
Lui monta	96.mp3
She rides	97.mp3
Lei monta	98.mp3
We ride	99.mp3
Noi montiamo	100.mp3
You ride (plural)	101.mp3
Voi montate	102.mp3
They ride	103.mp3
Loro montano	104.mp3
I can do this	105.mp3
Posso farlo.	106.mp3
Just a little further!	107.mp3
Solo un po' più in là!	108.mp3
Whoa!	109.mp3
Wow!	110.mp3
Help!	111.mp3
Aiuto!	112.mp3
I won't give up...	113.mp3
Non mi arrenderò...	114.mp3
they are being very animated.	115.mp3
stanno essendo molto animati.	116.mp3
to feed a baby	117.mp3
dare da mangiare a un bambino	118.mp3
I read	119.mp3
